MARCA,PRODUCTO,PRECIOS,ENLACE,TIENDA
hp,"<a class=""product-name --font-weight-bold-600"" href=""https://yamoshi.com.pe/inicio/10393-laptop-ryzen-7-gaming-hp-omen-16-n0023-6800h-16gb-512gb-ssd-rtx-3060-6gb-161-w11.html"">LAPTOP RYZEN 7 GAMING HP OMEN 16-N0023 6800H 16GB 512GB SSD RTX 3060 6GB...</a>","S/ 5,829.12",https://yamoshi.com.pe/inicio/10393-laptop-ryzen-7-gaming-hp-omen-16-n0023-6800h-16gb-512gb-ssd-rtx-3060-6gb-161-w11.html,yamoshi
hp,"<a class=""product-name --font-weight-bold-600"" href=""https://yamoshi.com.pe/inicio/10394-laptop-i7-hp-victus-15-fa0032dx-68y11ua-12650h-16gb-512gb-ssd-rtx-3050-ti-4gb-156-w11.html"">LAPTOP I7 HP VICTUS 15-FA0032DX ( 68Y11UA ) 12650H 16GB 512GB SSD RTX 3050...</a>","S/ 4,655.20",https://yamoshi.com.pe/inicio/10394-laptop-i7-hp-victus-15-fa0032dx-68y11ua-12650h-16gb-512gb-ssd-rtx-3050-ti-4gb-156-w11.html,yamoshi
lenovo,"<a class=""product-name --font-weight-bold-600"" href=""https://yamoshi.com.pe/inicio/10395-laptop-i7-gaming-lenovo-legion-5-15iah7h-12700h-16gb-512gb-ssd-rtx-3060-6gb-156-w11.html"">LAPTOP I7 GAMING LENOVO LEGION 5 15IAH7H 12700H 16GB 512GB SSD RTX 3060 6GB...</a>","S/ 5,910.08",https://yamoshi.com.pe/inicio/10395-laptop-i7-gaming-lenovo-legion-5-15iah7h-12700h-16gb-512gb-ssd-rtx-3060-6gb-156-w11.html,yamoshi
gigabyte,"<a class=""product-name --font-weight-bold-600"" href=""https://yamoshi.com.pe/inicio/10396-laptop-i7-gaming-gigabyte-aero-16-xe5-73us948hp-12700h-32gb-2tb-ssd-rtx-3070-ti-8gb-16-4k-w11-pro.html"">LAPTOP I7 GAMING GIGABYTE AERO 16 XE5-73US948HP 12700H 32GB 2TB SSD RTX...</a>","S/ 7,084.00",https://yamoshi.com.pe/inicio/10396-laptop-i7-gaming-gigabyte-aero-16-xe5-73us948hp-12700h-32gb-2tb-ssd-rtx-3070-ti-8gb-16-4k-w11-pro.html,yamoshi
msi,"<a class=""product-name --font-weight-bold-600"" href=""https://yamoshi.com.pe/inicio/10397-laptop-i7-gaming-msi-thin-gf63-12650h-16gb-512gb-ssd-rtx-4050-6gb-156-w11.html"">LAPTOP I7 GAMING MSI THIN GF63 12650H 16GB 512GB SSD RTX 4050 6GB 15.6"" W11</a>","S/ 5,383.84",https://yamoshi.com.pe/inicio/10397-laptop-i7-gaming-msi-thin-gf63-12650h-16gb-512gb-ssd-rtx-4050-6gb-156-w11.html,yamoshi
msi,"<a class=""product-name --font-weight-bold-600"" href=""https://yamoshi.com.pe/inicio/10398-laptop-i7-gaming-msi-crosshair-15-a11uek-205-11800h-16gb-512-ssd-rtx-3060-6gb-156-w10.html"">LAPTOP I7 GAMING MSI CROSSHAIR 15 A11UEK-205 11800H 16GB 512 SSD RTX 3060...</a>","S/ 5,383.84",https://yamoshi.com.pe/inicio/10398-laptop-i7-gaming-msi-crosshair-15-a11uek-205-11800h-16gb-512-ssd-rtx-3060-6gb-156-w10.html,yamoshi
msi,"<a class=""product-name --font-weight-bold-600"" href=""https://yamoshi.com.pe/inicio/10399-laptop-i7-gaming-msi-katana-gf66-12ue-603-12700h-16gb-512gb-ssd-rtx-3060-6gb-156-w11.html"">LAPTOP I7 GAMING MSI KATANA GF66 12UE-603 12700H 16GB 512GB SSD RTX 3060...</a>","S /5,586.24",https://yamoshi.com.pe/inicio/10399-laptop-i7-gaming-msi-katana-gf66-12ue-603-12700h-16gb-512gb-ssd-rtx-3060-6gb-156-w11.html,yamoshi
msi,"<a class=""product-name --font-weight-bold-600"" href=""https://yamoshi.com.pe/inicio/10400-laptop-i7-gaming-msi-cyborg-15-a13ve-218-13620h-16gb-512gb-ssd-rtx-4050-6gb-156-w11.html"">LAPTOP I7 GAMING MSI CYBORG 15 A13VE-218 13620H 16GB 512GB SSD RTX 4050 6GB...</a>","S/ 5,829.12",https://yamoshi.com.pe/inicio/10400-laptop-i7-gaming-msi-cyborg-15-a13ve-218-13620h-16gb-512gb-ssd-rtx-4050-6gb-156-w11.html,yamoshi
msi,"<a class=""product-name --font-weight-bold-600"" href=""https://yamoshi.com.pe/inicio/10402-laptop-i7-gaming-msi-pulse-gl66-12700h-16gb-512gb-ssd-rtx-3070-8gb-156-w11.html"">LAPTOP I7 GAMING MSI PULSE GL66 12700H 16GB 512GB SSD RTX 3070 8GB 15.6"" W11</a>","S/ 6,476.80",https://yamoshi.com.pe/inicio/10402-laptop-i7-gaming-msi-pulse-gl66-12700h-16gb-512gb-ssd-rtx-3070-8gb-156-w11.html,yamoshi
msi,"<a class=""product-name --font-weight-bold-600"" href=""https://yamoshi.com.pe/inicio/10403-laptop-i7-gaming-msi-pulse-gl76-12ugk-258-12700h-16gb-1tb-ssd-rtx-3070-8gb-173-w11.html"">LAPTOP I7 GAMING MSI PULSE GL76 12UGK-258 12700H 16GB 1TB SSD RTX 3070 8GB...</a>","S/ 6,598.24",https://yamoshi.com.pe/inicio/10403-laptop-i7-gaming-msi-pulse-gl76-12ugk-258-12700h-16gb-1tb-ssd-rtx-3070-8gb-173-w11.html,yamoshi
